model,question_id,temperature,num_samples,num_correct,num_attempted_samples,num_reference_failed_samples,pass@1,pass@2,pass@3,pass@4,pass@5,pass@6,pass@7,pass@8,pass@9,pass@10,pass@11,pass@12,pass@13,pass@14,pass@15,pass@16,pass@17,pass@18,pass@19,pass@20
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_001,0.5,50,4,50,0,0.08,0.1551,0.2255,0.2914,0.353,0.4105,0.4641,0.514,0.5603,0.6032,0.6429,0.6795,0.7132,0.7442,0.7726,0.7986,0.8223,0.8439,0.8634,0.881
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_002,0.5,50,32,50,0,0.64,0.8751,0.9584,0.9867,0.996,0.9988,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_003,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_004,0.5,50,1,50,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_005,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_006,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_007,0.5,50,6,50,0,0.12,0.2278,0.3243,0.4105,0.4874,0.5558,0.6164,0.6699,0.717,0.7585,0.7947,0.8263,0.8537,0.8774,0.8979,0.9154,0.9303,0.943,0.9537,0.9626
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_008,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_009,0.5,50,11,50,0,0.22,0.3951,0.5337,0.6429,0.7283,0.7947,0.846,0.8854,0.9154,0.9381,0.9551,0.9678,0.9771,0.9839,0.9888,0.9923,0.9948,0.9965,0.9977,0.9985
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_010,0.5,50,34,50,0,0.68,0.902,0.9714,0.9921,0.9979,0.9995,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_011,0.5,50,8,50,0,0.16,0.2971,0.4143,0.514,0.5985,0.6699,0.7299,0.7802,0.822,0.8568,0.8854,0.9089,0.9281,0.9436,0.9562,0.9662,0.9741,0.9804,0.9853,0.9891
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_012,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_013,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_014,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_015,0.5,50,30,50,0,0.6,0.8449,0.9418,0.979,0.9927,0.9976,0.9992,0.9998,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_016,0.5,50,10,50,0,0.2,0.3633,0.4959,0.6032,0.6894,0.7585,0.8133,0.8568,0.8909,0.9175,0.9381,0.954,0.9661,0.9753,0.9821,0.9872,0.991,0.9937,0.9957,0.9971
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_017,0.5,50,7,50,0,0.14,0.2629,0.3704,0.4641,0.5457,0.6164,0.6774,0.7299,0.7749,0.8133,0.846,0.8737,0.8969,0.9164,0.9327,0.9461,0.9572,0.9663,0.9737,0.9796
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_018,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_019,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_020,0.5,50,11,50,0,0.22,0.3951,0.5337,0.6429,0.7283,0.7947,0.846,0.8854,0.9154,0.9381,0.9551,0.9678,0.9771,0.9839,0.9888,0.9923,0.9948,0.9965,0.9977,0.9985
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_021,0.5,50,4,50,0,0.08,0.1551,0.2255,0.2914,0.353,0.4105,0.4641,0.514,0.5603,0.6032,0.6429,0.6795,0.7132,0.7442,0.7726,0.7986,0.8223,0.8439,0.8634,0.881
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_022,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_023,0.5,50,47,50,0,0.94,0.9976,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_024,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_025,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_026,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_027,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_028,0.5,50,3,50,0,0.06,0.1176,0.1727,0.2255,0.276,0.3243,0.3704,0.4143,0.4561,0.4959,0.5337,0.5696,0.6036,0.6357,0.6661,0.6947,0.7216,0.7469,0.7707,0.7929
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_029,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_030,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_031,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_032,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_033,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_034,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_035,0.5,50,9,50,0,0.18,0.3306,0.4561,0.5603,0.6463,0.717,0.7749,0.822,0.8602,0.8909,0.9154,0.9349,0.9503,0.9624,0.9718,0.9791,0.9846,0.9888,0.992,0.9943
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_036,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_037,0.5,50,12,50,0,0.24,0.4261,0.5696,0.6795,0.7631,0.8263,0.8737,0.9089,0.9349,0.954,0.9678,0.9777,0.9847,0.9897,0.9931,0.9955,0.9971,0.9981,0.9988,0.9993
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_038,0.5,50,16,50,0,0.32,0.542,0.6947,0.7986,0.8687,0.9154,0.9461,0.9662,0.9791,0.9872,0.9923,0.9955,0.9974,0.9985,0.9992,0.9996,0.9998,0.9999,0.9999,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_039,0.5,50,32,50,0,0.64,0.8751,0.9584,0.9867,0.996,0.9988,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_040,0.5,50,5,50,0,0.1,0.1918,0.276,0.353,0.4234,0.4874,0.5457,0.5985,0.6463,0.6894,0.7283,0.7631,0.7943,0.8221,0.8468,0.8687,0.888,0.905,0.9198,0.9327
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_041,0.5,50,8,50,0,0.16,0.2971,0.4143,0.514,0.5985,0.6699,0.7299,0.7802,0.822,0.8568,0.8854,0.9089,0.9281,0.9436,0.9562,0.9662,0.9741,0.9804,0.9853,0.9891
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_042,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_043,0.5,50,22,50,0,0.44,0.6914,0.8329,0.9111,0.9536,0.9763,0.9881,0.9942,0.9972,0.9987,0.9994,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
