model,question_id,temperature,num_samples,num_correct,num_attempted_samples,num_reference_failed_samples,pass@1,pass@2,pass@3,pass@4,pass@5,pass@6,pass@7,pass@8,pass@9,pass@10,pass@11,pass@12,pass@13,pass@14,pass@15,pass@16,pass@17,pass@18,pass@19,pass@20
tinker/Qwen/Qwen3-32B,m2_001,0.5,50,18,50,0,0.36,0.5951,0.7469,0.8439,0.905,0.943,0.9663,0.9804,0.9888,0.9937,0.9965,0.9981,0.999,0.9995,0.9997,0.9999,0.9999,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_002,0.5,50,35,50,0,0.7,0.9143,0.9768,0.9941,0.9986,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_003,0.5,50,44,50,0,0.88,0.9878,0.999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_004,0.5,50,8,50,0,0.16,0.2971,0.4143,0.514,0.5985,0.6699,0.7299,0.7802,0.822,0.8568,0.8854,0.9089,0.9281,0.9436,0.9562,0.9662,0.9741,0.9804,0.9853,0.9891
tinker/Qwen/Qwen3-32B,m2_005,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_006,0.5,50,3,50,0,0.06,0.1176,0.1727,0.2255,0.276,0.3243,0.3704,0.4143,0.4561,0.4959,0.5337,0.5696,0.6036,0.6357,0.6661,0.6947,0.7216,0.7469,0.7707,0.7929
tinker/Qwen/Qwen3-32B,m2_007,0.5,50,1,50,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4
tinker/Qwen/Qwen3-32B,m2_008,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_009,0.5,50,3,50,0,0.06,0.1176,0.1727,0.2255,0.276,0.3243,0.3704,0.4143,0.4561,0.4959,0.5337,0.5696,0.6036,0.6357,0.6661,0.6947,0.7216,0.7469,0.7707,0.7929
tinker/Qwen/Qwen3-32B,m2_010,0.5,50,46,50,0,0.92,0.9951,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_011,0.5,50,41,50,0,0.82,0.9706,0.9957,0.9995,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_012,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
